timestamp,Input throttle (%),Actual throttle (%),Volts (V),Aux volts (V),Amps (A),Amp hours (Ah),Motor speed (RPM),Speed (m/s),Distance (m),Temp1 (C),Temp2 (C),Gear ratio,Gear,Ideal gear,Efficiency (Wh/km),Steering angle (deg),Brake,Fan status,Fan duty (%),Latitude (deg),Longitude (deg),Altitude (m),Bearing (deg),SpeedGPS (m/s),GPSTime,GPSAccuracy (m),Lap,Vehicle name,Mode,Bluetooth,SFLBearing (deg),ObserverBearing (deg),Slope (deg),PerformanceMetric,Mangled data
1623834451223,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834451476,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834451728,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834451980,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834452233,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834452485,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005393,-5.226968,148.2,0.0,0.0,1623834755000.0,3.0,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834452737,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005392,-5.226968,148.2,0.0,0.0,1623834757000.0,3.3,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834452989,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005392,-5.226968,148.2,0.0,0.0,1623834757000.0,3.3,0,,RACE,DISCONNECTED,0,0,0.0,0.0,0
1623834453242,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005392,-5.226968,148.2,0.0,0.0,1623834757000.0,3.3,0,,RACE,RECONNECTING,0,0,0.0,0.0,0
1623834453494,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005392,-5.226968,148.2,0.0,0.0,1623834757000.0,3.3,0,,RACE,RECONNECTING,0,0,0.0,0.0,0
1623834453748,0,0,23.03,0.00,0.00,2.57,0,0.0,0.000,11342.0,20.2,0.000,0,0,NaN,0,0,0,0,50.005388,-5.226971,148.2,222.0,0.5,1623834758000.0,3.0,0,,RACE,RECONNECTING,0,0,0.0,0.0,0
