timestamp,Input throttle (%),Actual throttle (%),Volts (V),Aux volts (V),Amps (A),Amp hours (Ah),Motor speed (RPM),Speed (m/s),Distance (m),Temp1 (C),Temp2 (C),Gear ratio,Gear,Ideal gear,Efficiency (Wh/km),Steering angle (deg),Brake,Fan status,Fan duty (%),Latitude (deg),Longitude (deg),Altitude (m),Bearing (deg),SpeedGPS (m/s),GPSTime,GPSAccuracy (m),Lap,Vehicle name,Mode,Bluetooth,SFLBearing (deg),ObserverBearing (deg),Slope (deg),PerformanceMetric,Mangled data
1570599501341,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.7,129.6,0.0,1011526758000.0,11.3,0,,DEMO,CONNECTED,0,0,-89.7,0.0,0
1570599501596,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.7,129.6,0.0,1011526758000.0,11.3,0,,DEMO,CONNECTED,0,0,-89.7,0.0,0
1570599501853,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.7,129.6,0.0,1011526758000.0,11.3,0,,DEMO,CONNECTED,0,0,-89.7,0.0,0
1570599502106,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.7,129.6,0.0,1011526758000.0,11.3,0,,DEMO,CONNECTED,0,0,-89.7,0.0,0
1570599502357,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,0
1570599502609,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,0
1570599502866,23,0,22.13,0.00,0.00,12.27,0,0.0,0.000,50.9,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,0
1570599503123,52,0,22.13,0.00,0.00,12.27,0,0.0,0.000,47.5,21.9,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,1
1570599503376,59,0,23.51,0.00,0.00,12.27,0,0.0,0.000,47.5,22.1,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,1
1570599503628,62,0,23.51,0.00,0.00,12.27,0,0.0,0.000,47.5,22.1,0.000,-1,0,NaN,0,0,0,0,51.493679,-2.215967,184.8,105.7,0.0,1011526760000.0,11.3,0,,DEMO,CONNECTED,0,0,90.0,0.0,1
